,PC1,PC2,PC3,PC4,PC5
CD44,0.942832310589533,0.959966915605944,0.946093708813285,0.946879464279509,0.946187662333357
CD47,0.973040570481646,0.932293893090356,0.948000095590325,0.947126192087631,0.945414377285531
CD55,0.951257520293824,0.940330333612036,0.949255794921818,0.944407838931131,0.94411794553145
CDCA3,0.999652365309765,0.949266741683468,0.949131778978099,0.945489577652339,0.943557804430266
CDH1,0.850160562721584,0.927006113735097,0.945471277083966,0.945924611557577,0.945823507321493
CDIPT,0.973267308188734,0.945171403152395,0.944903156628006,0.947012350883885,0.942708548272822
CDK1,0.626722034033112,0.93894887559057,0.952965843665717,0.945590943280381,0.94190620096155
CDK4,0.846082594844496,0.944582538458537,0.948389626176866,0.949631739854558,0.943402103270719
CDK5,0.907500828983896,0.945893751368478,0.944678288904035,0.947092741257305,0.942049229939016
CDK5R1,0.942791177708216,0.957628329114571,0.946682750322712,0.94647700977579,0.945564426288049
CDK6,0.903397093104381,0.961776718998612,0.946825665095308,0.946485091504722,0.946247509508487
CDK7,0.841647475344125,0.941550987531633,0.942140444714105,0.94418439478043,0.944340093372756
CDKN1A,0.688217075484243,0.944593017126531,0.942314300878829,0.943902120476782,0.945123841586979
CDKN1B,0.71449976218233,0.943192387437059,0.943169207379595,0.950720694409875,0.945863307928253
CDKN2A,0.837349139333965,0.946632614426106,0.950500530024333,0.949534680962989,0.947468435062011
CDO1,0.982230549574366,0.95601352371982,0.942401832482572,0.946919499599374,0.949247350305004
CEACAM1,0.99975330211059,0.955103360374315,0.949715705226737,0.949528665280053,0.946139231334591
CENPE,0.995326932379587,0.952590858744311,0.951563715200114,0.944471668416509,0.946058017999015
CETP,0.982365466505609,0.963666564009424,0.946356506501999,0.946089003565445,0.945898178852371
CFB,0.933586705302136,0.932980849480341,0.936043711950072,0.94498051581769,0.946066094691288
CFD,0.960207002345119,0.950431781902557,0.942332391150333,0.943605930866027,0.945198822203357
CFL1,0.907140844279354,0.925413351315347,0.946101707197568,0.946301622210318,0.94643773453343
CFLAR,0.942895909000634,0.963555697346518,0.946041793299978,0.946343441009361,0.945832793125388
CHEK1,0.916355839190158,0.950601541072498,0.948950756271784,0.945489689562168,0.943733305789697
CHRM2,0.95605189340904,0.963563350086868,0.946010919293686,0.946336374949906,0.946015694450861
CHRM5,0.955979994240507,0.959483412262008,0.946231487721413,0.946224257034877,0.94612547263899
CHRNA1,0.95594188276927,0.957325582358594,0.946151560963781,0.946245917334919,0.946028165055528
CHRNA3,0.969229346865726,0.964778130599648,0.946224985141362,0.945947443699012,0.945816466047043
CHRNA5,0.969228528983669,0.964759591309714,0.947609669883333,0.946740443777731,0.945860441703554
CHRNA9,0.973490400019979,0.957762216695782,0.945881641078843,0.946473275366726,0.945455961207502
CHRNB3,0.969107324297251,0.957879211885497,0.945823069036623,0.946446106509242,0.946002906835201
CKS1B,0.946815626062659,0.937213599675706,0.951889965854749,0.946807395089139,0.943603201409295
CLC,0.999835265071817,0.9596364974085,0.946391734714943,0.946312528949953,0.945798384300101
CLCN4,0.999886204123516,0.962526773807643,0.947061462150002,0.946626881465443,0.94645533173073
CLCN7,0.999427274231412,0.93650762984962,0.945450173922755,0.946253552285573,0.946338136620566
CLPP,0.9993142608398,0.930133174432183,0.946193224486501,0.946840083078822,0.945565779684226
CLU,0.981767635754798,0.929798366425496,0.943358947990244,0.946801553473163,0.947287551134607
CMAS,0.995129223447736,0.941621031941422,0.949207922064253,0.95020209114228,0.943867417551966
CNGA1,0.995410351150757,0.957371298895875,0.946738817287564,0.945991642429504,0.946381706108549
CNGA3,0.99111537185098,0.96250108910444,0.94587594637308,0.946211950413346,0.945969989390296
CNR2,0.973498806906458,0.95821379032414,0.94602737248012,0.94599624207511,0.94610013501242
CNTF,0.991150107364139,0.964468653986365,0.945894626051324,0.946186844674955,0.945967772579376
COL18A1,0.981806992358419,0.931980761287571,0.944743156199124,0.945810607945086,0.948277150526978
COL1A1,0.902296452861999,0.899314737593626,0.942507953524733,0.944925466793305,0.949152260200226
COLEC10,0.99983990049567,0.959897609954351,0.945917169094643,0.946348868672193,0.946062241985345
COMP,0.981631826526196,0.92196035776357,0.941099895593566,0.943195716264567,0.948283585692563
COMT,0.972941600171679,0.926609451960617,0.946890715304752,0.94528356685311,0.946214104830533
COX4I1,0.964507293874164,0.945517797862187,0.957260708249524,0.942381723473,0.9493987169742
COX5A,0.964171614630008,0.926700215123891,0.94754074265355,0.946756453158979,0.945682085699539
COX5B,0.964135796430006,0.924648600501231,0.94671441489522,0.946328119530035,0.946245354642752
COX6B1,0.964125501832994,0.924069227459511,0.946749855471239,0.946475696280149,0.946359742560129
COX6C,0.964193994152414,0.928026799390559,0.943092216540125,0.947839393623355,0.944174866798815
COX7B,0.964268597333939,0.932174636491415,0.947198755186299,0.94630097654837,0.946126556478404
COX7C,0.964202204603596,0.928423984891779,0.944733519402261,0.946612275474409,0.946155774459376
COX8A,0.964178647841723,0.927084605670668,0.945481723451606,0.946338643854288,0.945657800038685
CPB1,0.999690080956857,0.951271268938428,0.940229494937519,0.942084635311102,0.944612914071416
CPB2,0.991093481280131,0.961246619550531,0.94610419481613,0.945868340724699,0.946088709003044
CPE,0.981800695435043,0.93161943769385,0.942429669386984,0.945197942294657,0.946813482199145
CPS1,0.982269294633105,0.958223067177103,0.946109534528098,0.946330869546247,0.946097982346789
CPT1A,0.951161330197613,0.93489720580513,0.944976399448377,0.945288075053868,0.945453605366079
CPT2,0.973271524480473,0.94534849679689,0.943239690526507,0.947208877063863,0.948706522982977
CRH,0.973474777248747,0.956866279114251,0.946011491470835,0.946336781544155,0.945938488320628
CRHR2,0.973513537310196,0.959059220183044,0.946106578763982,0.946259851799402,0.94600406443338
CRP,0.973425729037606,0.954160276696578,0.949127965162533,0.948667630067984,0.946802164275692
CSF1,0.955998087453547,0.960505875426292,0.945781319954119,0.946159042953143,0.946182740858135
CSF1R,0.951269828328641,0.940999477081441,0.947007673243055,0.94555939009111,0.950235916443856
CSK,0.867908806654694,0.93874396042703,0.946875180627485,0.946110324049587,0.946560765007589
CSNK1A1,0.92044723823991,0.933961540573548,0.944189499003016,0.946638569011326,0.946301254639387
CSNK1D,0.920430677351454,0.933033560247287,0.94546193147077,0.947134551633715,0.946909153134331
CSNK1G2,0.964356711470498,0.937159988591628,0.946188485187365,0.946259662049068,0.946722747647877
CSNK2A1,0.876778813178216,0.944530772901815,0.948105084696389,0.949307333592079,0.943603629918616
CSRNP3,0.999693828728904,0.951691337260765,0.946366246587136,0.949429455192039,0.949521929528568
CTBP1,0.942408011245036,0.935902193464066,0.945307127421156,0.946489933298557,0.946692588963669
CTDSP1,0.986414947939335,0.944647607944517,0.942609278821694,0.947403032485922,0.949254047458771
CTGF,0.968561240681148,0.926902716924453,0.945263814202499,0.94658209757161,0.949032682359852
CTLA4,0.955968172990979,0.958809253909795,0.946863058417886,0.946040250341298,0.945896908901099
CTNNB1,0.740728906143421,0.938383481440628,0.945991605315877,0.947403743880422,0.947057035962942
